sample_id,mitochondria_background_signal_heterogeneity,median_mitochondria_object_area,background_noise_robust_snr,background_mito_signal_contamination_index,mitochondria_intensity_variance_across_radial_shells,nucleus_to_mitochondria_intensity_ratio,mitochondria_length_to_width_variability,mitochondria_network_compactness,mitochondrial_radial_anisotropy_index,mitochondria_neighbor_intensity_variogram_slope,mitochondria_local_autocorrelation_length,mitochondria_length_width_skewness,mito_clustered_vs_isolated_object_fraction,mitochondria_background_contrast_ratio,mitochondria_local_texture_anisotropy,intra_cell_mitochondria_cluster_coefficient,mitochondria_intensity_gini_inside_cell,mitochondria_to_background_intensity_contrast,perinuclear_mitochondria_fraction,mito_perimeter_intensity_gradient_mean,mitochondria_intensity_entropy_within_cell,mitochondria_area_fraction_in_perinuclear_band,intra_cell_mito_intensity_variogram_slope,mitochondria_intensity_entropy,intra_cell_mitochondria_clusteredness,mitochondria_radial_compactness_gradient,mitochondrial_network_fragmentation_score,background_mito_signal_to_noise,mito_intensity_geodesic_variation,mitochondria_network_continuity_score,mitochondria_polarization_toward_niche_side,mitochondria_long_tubule_fraction,elongated_mito_fraction_by_aspect_ratio,mitochondria_size_intensity_correlation,mitochondrial_area_fraction,mitochondria_intensity_weighted_eccentricity_variance,per_mitochondrion_intensity_skewness_mean,mitochondria_neighbor_intensity_autocorrelation,mitochondria_network_spatial_entropy,mitochondria_perimeter_to_area_ratio_mean,mitochondria_to_cell_intensity_dynamic_range_ratio,mito_intensity_autocorrelation_length,mitochondria_spatial_polarization_score,mitochondria_radial_distribution_entropy,mitochondria_texture_anisotropy_glcm,mitochondria_clusteredness_by_nearest_neighbor,mitochondria_local_entropy_mean
old_20210423_dish2_c10_r1,,172.5,,0.159852037762091,0.0064810784533619,0.3478433185351947,,0.4762474282725863,1.3733966238522497,,13.29286913484896,0.5128332654497476,0.0,1.0624853665948923,0.9551175236701964,0.6666666666666666,0.3111983526999327,-0.0789240418613702,0.056427706909932,2790.259033203125,5.279082558156302,0.0797912005965696,1.8658979472812511,1.425230722260205,1.6236258193293154,-0.4722930326733491,0.0009933068563236,70.82147045009357,0.0118696796822812,0.5157500844048811,-0.2401859406502016,0.0,0.1666666666666666,0.9574434121158774,0.0291918140825528,0.0061131316811407,-0.2631673717127227,0.0,0.8715001897018754,0.0,0.0977502857096407,42.46454744249236,0.1224189191719046,2.3059523672811153,0.4924616963230214,0.4591856385250502,2.150521755218506
old_20210423_dish2_c11_2_r1,,372.5,,0.3005930619627432,0.0086089074611663,0.2847103744995767,0.8597431654930114,0.6387729660287146,0.7667614666906775,,22.046057435274488,0.7313420133526416,0.25,1.060007736116302,0.973622739315033,0.8095238095238095,0.3235616838141359,-0.0289572187500181,0.1722037826826108,2543.183349609375,5.359710057968133,0.1064311594202898,1.6647688647625056,2.0448894339503174,1.237146724653028,-0.3209394399227324,0.0005660397531444,603.6687243127024,0.0184495441780174,0.2998818011546849,0.1894980153729838,0.0,0.375,0.7194974850284394,0.0475245693143716,0.0072056859043643,-0.3485941062494851,-0.4999999999999999,0.9088691856433782,0.3176869624766194,0.3182034525049773,84.40086205474837,0.0621547874676205,2.3916447289952143,0.508277700447751,0.431050929849663,1.85064160823822
old_20210423_dish2_c11_3_r1,,199.5,,0.3422205302513636,0.00572658656165,0.3045503403579684,,0.6008095755515542,0.8044856393416856,,19.510298849758954,1.299192466371581,0.2222222222222222,0.9717503898763534,0.9888941049575806,0.5416666666666666,0.2602349386769913,-0.0675009351210225,0.1224752027857532,2859.754150390625,5.320192274445704,0.105742229108163,1.4860723941910952,2.251635667787622,1.6125063884388862,-0.2258581035610709,0.0007093176293378,670.893100957954,0.0212204230029154,0.6170212765957436,0.0777907504830309,0.0,0.5555555555555556,0.9551446914725524,0.0650017343045438,0.0182686685673778,-0.588701078796438,0.1491478062091311,0.8844563508847173,0.2275401478131806,0.7547771098182599,223.9796310950339,0.1065087731136352,2.2975539786049604,0.5193566996511086,0.5032630651565907,1.7076807022094729
old_20210423_dish2_c12_r1,1217.2146,235.0,,0.2114943843453248,0.0061118556186556,1.1137104824549944,0.3366392739772796,0.8041396454082023,1.5131474659636586,126113.45723082448,29.85074563676032,0.3261296358130433,0.44,0.9375581603942598,0.9798574447631836,0.2666666666666666,0.3652994902462265,-0.0564302165604886,0.1152759689295148,2252.086669921875,5.151712649783553,0.088042794210195,1.5274535999704628,2.0327377355743135,1.541124581821404,-0.3245440969594454,0.0006407798990744,387.49461689122626,0.0149171220786885,0.118872583459993,-0.0579318795152889,0.0,0.25,0.2286647577495218,0.0540733032720545,2.9874002906202733e-05,-0.5486280510611443,0.178054978087242,0.9265317036309296,0.247346333744648,0.8941327523764653,197.65827806100936,0.1807334186822343,2.200126555508099,0.5470147527985163,0.55295318290602,1.4581708908081057
old_20210423_dish2_c13_r1,,143.0,,0.3193525685986698,0.0114015992730855,0.5411681913891078,0.358868090236187,0.5491193717855803,0.7122039989590693,,26.732382826124383,0.9325490829703036,0.5,0.9529722123015308,0.990090310573578,0.5925925925925926,0.3048146286452278,-0.0729795014470863,0.1318887631248824,2742.13037109375,5.398055730822342,0.1082377866400797,1.5085128151528002,2.416875561279266,1.224416187615884,-0.5667526418150011,0.0006594203804715,414.0408714519024,0.0197038222684006,0.6128048780487795,-0.0776871876050067,0.0,0.4,-0.094940613607245,0.0835657301422129,0.0103112427395623,-0.4288538183889649,-0.0565353886147248,0.9179257320309888,0.2319336573900992,0.9700440063132354,132.13782321188438,0.1121891019438194,2.2358131566823416,0.5540562569114497,0.5741795160210822,1.6088563203811646
old_20210423_dish2_c14_1_r1,891.7838999999999,152.0,,0.3428309525366411,0.0063200630247592,0.7644564967714875,0.3828052723646163,0.854803624562436,1.2571610970175382,-271000.084953872,27.95064279233999,0.5491921882992642,0.3333333333333333,1.017815831281127,0.9862934350967408,0.3888888888888888,0.3469268123575029,-0.0107371129240695,0.0,2098.14501953125,5.37425714152649,0.0059507561281869,1.2797976677870413,2.4541686323140484,1.354759915437277,-0.2403258109521669,0.0007460510578292,525.4280083574861,0.021991460186251,0.5396825396825388,-0.0109047510290658,0.0,0.3571428571428571,0.5759259929875875,0.0773268585963695,0.0,-0.4312145894969809,0.1427454196581768,0.9202873198901104,0.3128489939919607,0.7459563824142135,200.82713680627504,0.1505014687164652,2.012285757237188,0.5840833820537971,0.550975347144281,1.6702847480773926
old_20210423_dish2_c14_2_r1,,179.0,,0.397732914082597,0.0038466728292405,0.4966903855289847,0.3456936484336853,0.4057012541478769,1.1850049099026638,,19.87691753912431,0.2125617953530796,0.5454545454545454,1.0422536256960075,0.9904327988624572,0.4074074074074073,0.3318198927892237,-0.0965120206244636,0.1242551095132254,3764.32861328125,5.388596735762501,0.1014255284286416,1.7001575334881418,2.0516147274608505,1.5327683841615387,-0.3066025528807454,0.000638475336735,669.9937804472864,0.0186544825396442,0.5600113214227891,0.1255466912382392,0.0,0.3,0.9284701645211908,0.0425806451612903,0.0005766175157454,-0.2943669656038201,-0.5,0.8498565509347356,0.2295085404480472,0.3423736081917236,77.09106202395681,0.1797871403963946,2.2688536034441,0.5283342771070314,0.5895692522985841,1.820093035697937
old_20210423_dish2_c14_3_r1,1081.5567,250.0,,0.3871614844209995,0.0029110258910804,0.4578736208243168,,0.7969824505365033,0.8908921595973723,,22.1497699833744,0.8713516163126727,0.4166666666666667,0.97557265987295,0.9892652630805968,0.3939393939393939,0.3697448396226797,-0.1183897137741853,0.0718968623210642,2298.43798828125,5.381455430274926,0.108735048930772,1.458972041948524,2.750189835593403,1.4956300446954498,-0.2257147227392589,0.0007401962364874,441.656401395362,0.0132677448354318,0.7898550724637662,-0.1614348380796371,0.0,0.1,0.7910266135775436,0.0614082552896288,0.01726444120056,-0.239357474930101,-0.3082200821650018,0.9154719857585534,0.2438552154087951,0.6425297236280301,220.6282721522176,0.237740347941781,2.295860787830447,0.5202866974771889,0.4846037803236436,1.7774823904037476
old_20210423_dish2_c1_1_r1,1125.2934,159.0,268.3798641447503,0.4032325953023628,0.009953555651009,0.438084013768997,1.0067313820123671,0.3439979318304813,1.7267131509405007,536165.5088589606,23.2242757153074,0.1568947652376358,0.5,0.8961076138291991,0.9831143021583556,0.4,0.3755983722120308,-0.1584576723519126,0.0726558377708982,2600.051025390625,5.310673506443846,0.065819209039548,1.6943699623265245,2.6897264377222414,1.1195458663388491,-0.1934962619592134,0.0007433626636761,83.73677353885532,0.0210886793004545,0.0913627150125493,0.1069160051243279,0.0,0.25,0.4375523852660479,0.0744224765868886,0.0125012475731331,-0.2995795497629573,-0.4999999999999999,0.9090719995946313,0.2415665763443319,0.4806401806814132,90.41992740499047,0.2088187840806498,2.219010745177877,0.5613863139786053,0.5106169030849769,1.7833120822906494
old_20210423_dish2_c1_2_r1,938.4858,181.0,59.45458505005727,0.4115997029608448,0.0054013049229979,1.121607128032208,0.1651503408193588,0.3991760088798471,0.8298610157954305,419109.5738384568,23.27134281066772,0.5536651867954336,0.1176470588235294,0.9464502001993188,0.975596249103546,0.5833333333333333,0.3121467655472321,-0.1043545636459918,0.1527963579846453,2228.38720703125,5.383134582146091,0.1130650433998421,1.6098310099887454,3.442996889816138,1.1896956341906622,-0.4372871866328441,0.0008936939229555,20.024635223714437,0.0230056058165956,0.2924647125211163,-0.0351537560903897,0.0,0.2777777777777778,0.2677483465882525,0.0775534743901029,0.0112432425681099,-0.2602426283133653,-0.4013584134426716,0.9047439888817944,0.2681863694940518,0.5358513042109904,128.10258734899404,0.08830263573972,2.253066954863849,0.4758456511167006,0.4922970072904397,1.661441206932068
