sample_id,Group,mitochondria_background_signal_heterogeneity,median_mitochondria_object_area,background_noise_robust_snr,background_mito_signal_contamination_index,mitochondria_intensity_variance_across_radial_shells,nucleus_to_mitochondria_intensity_ratio,mitochondria_length_to_width_variability,mitochondria_network_compactness,mitochondrial_radial_anisotropy_index,mitochondria_neighbor_intensity_variogram_slope,mitochondria_local_autocorrelation_length,mitochondria_length_width_skewness,mito_clustered_vs_isolated_object_fraction,mitochondria_background_contrast_ratio,mitochondria_local_texture_anisotropy,intra_cell_mitochondria_cluster_coefficient,mitochondria_intensity_gini_inside_cell,mitochondria_to_background_intensity_contrast,perinuclear_mitochondria_fraction,mito_perimeter_intensity_gradient_mean,mitochondria_intensity_entropy_within_cell,mitochondria_area_fraction_in_perinuclear_band,intra_cell_mito_intensity_variogram_slope,mitochondria_intensity_entropy,intra_cell_mitochondria_clusteredness,mitochondria_radial_compactness_gradient,mitochondrial_network_fragmentation_score,background_mito_signal_to_noise,mito_intensity_geodesic_variation,mitochondria_network_continuity_score,mitochondria_polarization_toward_niche_side,mitochondria_long_tubule_fraction,elongated_mito_fraction_by_aspect_ratio,mitochondria_size_intensity_correlation,mitochondrial_area_fraction,mitochondria_intensity_weighted_eccentricity_variance,per_mitochondrion_intensity_skewness_mean,mitochondria_neighbor_intensity_autocorrelation,mitochondria_network_spatial_entropy,mitochondria_perimeter_to_area_ratio_mean,mitochondria_to_cell_intensity_dynamic_range_ratio,mito_intensity_autocorrelation_length,mitochondria_spatial_polarization_score,mitochondria_radial_distribution_entropy,mitochondria_texture_anisotropy_glcm,mitochondria_clusteredness_by_nearest_neighbor,mitochondria_local_entropy_mean
old_20210423_dish2_c10_r1,Old,2793.4221851074217,194.0,118.48893842937925,0.0002687661317602,0.0011449317680671,0.0001078137261538,0.1205995208508341,0.1094134050616417,0.7567985370636536,0.0136945331469178,4.0046412186251965,0.7167056780880551,1.0,4.188596435761741,0.7018027901649475,0.7499999971527779,0.2220199855506129,48.869177962515465,0.0833493276297907,31986.318359375,7.3306826614363985,0.1834451901552315,1.5955877304077148,4.41153501698174,0.8985125703895118,-0.1952905293717433,0.0441176464100346,67.90777464784058,0.2843661904335022,0.9341135185080884,0.03556086844639,0.19999999999996,0.0,0.7,0.2863436123348015,0.0035300209539217,0.2475019007744777,0.0882566768059811,0.2959636573743016,0.2970626199933171,0.7198612875512632,3.4316666600942307,0.0360151493791354,0.8960505846599379,0.3286454324671262,0.4591856635424343,3.484898328781128
old_20210423_dish2_c11_2_r1,Old,3280.5840580078125,428.0,547.0616935790466,9.754284918017558e-05,0.0016646900912746,0.0061756037628875,0.1274924784408954,0.0678375328770513,0.625849357159066,-0.0017442342359572,4.706048472468708,0.8935279492546951,1.0,3.5006689835985094,0.6624053716659546,0.499999998313492,0.1968650309125675,21.520698959321905,0.2919053655517292,26843.634765625,7.49707578898013,0.2857789855065992,1.5381933450698853,4.470067285413207,0.8276244481328602,-0.1045896562400855,0.0235294116724336,630.372377573245,0.2826825976371765,1.0069929566008544,0.0165630191535022,0.4999999999999375,0.0,0.3571428571428572,0.2897217235188509,0.0566429895688459,0.5440453025972197,-0.2878977866964203,0.4198874110879832,0.2250056297659346,0.7483547122668449,4.5003646181247055,0.0446391840814892,0.9368200557146208,0.3258210024597739,0.4313384205527688,3.525874614715576
old_20210423_dish2_c11_3_r1,Old,2085.543847631836,236.0,640.2457093423491,0.0005622399640166,0.0032693457324057,0.0102025052694903,0.1733301541074301,0.0733786313734495,0.6953249650042687,0.0045573376119136,5.364789956292487,1.550251559815994,0.5555555555555556,4.611359741789509,0.6495210528373718,0.0,0.1907395054595252,23.45773236132362,0.6170087165366239,29676.2109375,7.588578241855443,0.4841677156962484,1.2230329513549805,4.286897518099311,0.8356863860642512,-0.0786740076904792,0.025878003649024,371.1514843294012,0.298901230096817,0.9512935094452856,0.008310780009833,0.5555555555554939,0.2222222219753086,0.4666666666666666,0.2850961538461538,0.0069023278013754,0.3878296414757812,-0.0411482742142014,0.5483003022501897,0.2604371942686481,0.7048494486133304,5.0765460985747435,0.0894519072632714,0.8530914567069237,0.3110820101265478,0.5032630196072662,3.706020832061768
old_20210423_dish2_c12_r1,Old,3506.987864501953,299.0,1068.2934641384193,0.0001190192811235,0.0119499526917934,0.0069392529324332,0.2800368773285757,0.0272507272591544,0.4221350785852958,0.072267934679985,6.001696752956185,0.3467247029270552,0.92,4.547219061638502,0.6236891150474548,0.5539682533360166,0.1926208309530404,36.34188403330059,0.5461849487096253,25529.33203125,7.440479526703328,0.2005663939583382,0.9767537117004396,4.419339517904864,0.9781969861753176,-0.2122645209366202,0.0519480518730908,95.56251129875652,0.3118725717067718,0.8209042073332223,0.010630168674753,0.3199999999999872,0.039999999984,0.2976923076923077,0.2441579371474617,0.0142098139313834,0.5868204878522828,0.1371146261645477,0.6330519533144489,0.2600519930199792,0.6433460794373538,4.524796612712011,0.0668877777084363,0.958448534562326,0.3135875850155089,0.5529532061527286,3.560953140258789
old_20210423_dish2_c13_r1,Old,3533.5468916015625,704.5,833.8901939795222,0.0003146130728775,0.0090330820530653,0.0072602277696342,0.0811870295043177,0.0751405428544272,0.5743212432221316,0.0211804024875164,5.208460916617492,1.0922128479163846,0.9,4.39808977273518,0.5924151539802551,0.999999995,0.1951264481239622,24.1144809945257,0.4419818615129562,26175.3203125,7.637696917844772,0.3084496510466672,0.9933361411094666,4.416434125137808,0.8013577351462537,-0.2213504433253735,0.0257510729337434,312.7150458409124,0.3204108476638794,0.8975483357681955,0.0037310173520703,0.59999999999994,0.0,0.2606060606060606,0.290656161516681,0.0175201962369387,0.3201908663989686,-0.333785846562514,0.5962488687479657,0.2115599836831724,0.9644656540432306,4.314381181335192,0.0218127353910351,0.9144857349158366,0.3161131563795991,0.5741795036361994,3.694648265838623
old_20210423_dish2_c14_1_r1,Old,3435.905954003906,155.0,1666.3049769201082,0.0003781236558885,0.007410847581923,0.0034395121633991,0.3040732865845582,0.0285644375864675,0.6688079578139011,0.0973372012376785,5.823477596048583,0.577841940454536,0.6333333333333333,9.122935601735222,0.6545531153678894,0.5025641017606837,0.2072630210867224,20.99955594727564,0.0253452739766091,25554.5390625,7.484439664942655,0.1808156357481133,0.9986271858215332,4.433192962738993,0.8466276145327275,0.13917271071912,0.0129101667493759,467.6702406565307,0.4001496732234955,0.9384722413728428,0.014390266735597,0.2333333333333255,0.0333333333222222,0.1704494924263725,0.2886065044152487,0.0339589023212231,0.2158798243806935,0.1891399721831914,0.6617083236926883,0.2971232961090621,0.7287983302549911,4.58254500645865,0.0570048864737892,0.83632305498241,0.3278542093238437,0.5509752779102631,3.717501401901245
old_20210423_dish2_c14_2_r1,Old,2127.734785107422,202.0,587.7003025336062,0.0001531059632452,0.0048673334531486,0.0091640682134563,0.1884063979600883,0.0646649778282373,0.80377621470322,0.0160955321043729,6.73374934939879,0.2452309592625853,0.9090909090909092,3.542532661938371,0.5914406180381775,0.74999999625,0.1846502975717775,29.4086047359843,0.4900076777238768,25131.36328125,7.713137487488792,0.3373750614446381,1.3639439344406128,4.322873182092214,0.7746444108729604,-0.1690479534885149,0.0221606647585577,401.0740281045942,0.3065482974052429,0.7768272240009904,0.0171955705279082,0.2727272727272479,0.0,0.6090909090909091,0.2925257731958762,0.0245807917809128,0.3405042412162147,-0.1185142960686161,0.4789113282797198,0.2756578012197694,0.6769010955773407,3.865968837407933,0.042641162732725,0.9314150474466548,0.3104107879202161,0.5895692342796816,3.67828917503357
old_20210423_dish2_c14_3_r1,Old,2648.8431667236327,566.0,721.9905574493013,0.0003066225759126,0.0020357121247798,0.0094057477303282,0.3160937585244534,0.0572120498568582,0.6814664346309187,0.0058808424510061,6.606243073975263,0.9928330515977036,0.9166666666666666,36.59985372278953,0.6737483739852905,0.6296296275925926,0.2610535015139685,17.393056957289033,0.5722002261207257,23864.787109375,7.59163482646013,0.3981877491841984,1.1551460027694702,4.359538634714999,0.8865961261049432,-0.1308758441570491,0.0168674698591958,414.7537749565182,0.4227007925510406,1.016040726646053,0.0010071266376663,0.5833333333332847,0.1666666665277777,0.3916083916083916,0.2870257476870114,0.0548348226169576,0.5022715731300352,0.0818876042938342,0.5837362894731505,0.2268643339710884,0.7555311413072329,4.450890525530004,0.0204779251370982,0.9425447255159436,0.3155729059804277,0.4849661916295847,3.3093016147613525
old_20210423_dish2_c1_1_r1,Old,985.093951611328,407.5,197.52159185984576,0.0039750354663058,0.0074571543373167,0.0191734531092855,0.3204534799140933,0.0474907324539097,0.6608252971410885,0.0034748746547847,5.292797251913471,0.1787670958503674,1.0,7.149266439602192,0.6358321309089661,0.658333331736574,0.1962088374666652,14.134301634408509,0.1414230748190156,31244.880859375,7.417126575440966,0.2403954802256491,1.1814926862716677,4.4515058062714585,0.9410325004500288,0.1278315520637977,0.0514138816159026,145.66272240365413,0.3289995193481445,0.7535533904610656,0.0237522129089408,0.4166666666666319,0.0,-0.3846153846153847,0.2729801140314281,0.0239029354345692,0.418586971924922,-0.1980375072742052,0.5013743604466221,0.2297144713187645,0.630810053314238,4.702087991749691,0.07599661567397,0.9335675263927016,0.315295401299529,0.5106168971302871,3.700515747070313
old_20210423_dish2_c1_2_r1,Old,3473.143610302734,233.0,104.20663577425452,0.0007853660132857,0.009908745996654,0.1453439406209541,0.4840672434663506,0.0417131129765109,0.3329557691566658,0.0223006047308444,6.0033223980538395,0.6063744958975795,0.8823529411764706,15.70849024577464,0.6585255265235901,0.2999999988611111,0.2089556806590154,11.40932117681993,0.3273489620786198,25697.416015625,7.506904764327835,0.2583699695634557,1.2437115907669067,4.372944389000408,0.8431042784711289,-0.1353818651982337,0.0188003580852279,38.43548074331312,0.4334196448326111,0.978983156814516,0.0067249148045414,0.3529411764705675,0.1764705881314879,0.3970588235294118,0.2895115738176985,0.0135232732600362,0.3090358293446941,0.2756929398066995,0.5307884315668115,0.2938721470629122,0.6933241772278137,4.106180254197392,0.0197454759601156,0.8832563035963236,0.3202001844260517,0.4922970103496796,3.829718351364136
